track_id,track_name,artist_name,stream_count,popularity
TRK-0AD7862E5AF9,Nothing strategy staff wind,Jennifer Cruz,20000000,100
TRK-941E096D6489,Development safe,Linda Moore,20000000,100
TRK-20763EAED54B,Issue ten,Helen Bailey,20000000,100
TRK-555B56B656D3,Story assume campaign Mr measure,Patricia Parker,20000000,87
TRK-A8A5AB1195C7,Shoulder pattern day,Jamie Rogers,20000000,93
TRK-C3DFB2032EA7,Perform chance,Melissa Potter,20000000,98
TRK-A179C462C75D,Lose better whole,Joseph Martinez PhD,20000000,94
TRK-8BC840B46060,Institution all heavy attorney,Joseph Lopez,20000000,100
TRK-0455AB48ACFB,Experience themselves,Cynthia Smith,20000000,100
TRK-EAEDDACDE403,Deal reveal,Amanda Lewis,20000000,91
TRK-859175786E68,Chance success,Melissa Murphy,20000000,100
TRK-92A56594E684,Team condition when if,Roberto Williamson,20000000,75
TRK-643B79F368E4,Education seven,Kyle Cline,20000000,100
TRK-8131F292413B,Career protect others institution,Evan Davis,20000000,100
TRK-929B2C422F07,Interest assume air,Katrina Davis,20000000,99
TRK-07FD7433A243,Him he gas,Catherine Beck,20000000,94
TRK-41B7CA3E4189,Thousand pressure me,Priscilla Reed,20000000,96
TRK-DD36CB7ED261,Trip look believe,Renee Manning,20000000,100
TRK-10239FA42BA2,Which identify feel,Ryan King,20000000,100
TRK-B99DCB93246A,Seven card,Mr. Mark Arnold,20000000,91
TRK-9E8F2E993460,Mouth majority,Mrs. Rebecca Johnson,20000000,92
TRK-D6390D7FE919,Together project interesting prove important,Renee Wall,20000000,100
TRK-FEA353FE496D,Bar clear catch,Christopher Simpson,20000000,95
TRK-955636214AC6,Senior wife,Eric Martin,20000000,91
TRK-366F798074A4,Who gun call street,Erin Howell,20000000,82
TRK-8C33D14CB78D,Relationship,Nichole Lawson,20000000,100
TRK-3CFA5E18A240,Already middle,Margaret Ramsey,20000000,99
TRK-A862032151AC,Past,Margaret Gardner,20000000,100
TRK-C9CD3E7A7692,Hour leader,Suzanne Reed,20000000,100
TRK-BC3C60719F07,Activity stuff east get,Patty Velazquez PhD,20000000,100
TRK-6056BA37D0EE,Ok,Joel Hull,20000000,97
TRK-2D05EF53F9E5,It gas,Daniel Lewis,20000000,97
TRK-2CEE7E2C8E44,Practice popular,Natalie Jackson,20000000,82
TRK-FD322E5EFD6E,House reduce,Laura Butler,20000000,76
TRK-F94EA7B21E8D,Race cultural bring,Kevin Brown,20000000,100
TRK-80416E23DD93,Ever large glass,James Chaney,20000000,100
TRK-804313DC17F9,Guess class affect,Alex Shaw,20000000,100
TRK-3D5C43E9C814,Experience might,Dave Reese,20000000,100
TRK-55C99C5D8A53,Tell strong campaign million option,Jeffrey Smith,20000000,98
TRK-8546E4EFB034,Civil quite,Sarah Simpson,20000000,84
TRK-506C4FAFB27C,Discussion act,Kevin Hurley,20000000,86
TRK-2B870D9F60C3,Possible clearly catch eat anyone,James Graham Jr.,20000000,100
TRK-16B76BB8D2A5,Return teach,Eddie Welch,20000000,99
TRK-C45EF70BF0DC,True,Caroline Lara,20000000,84
TRK-D3A0C7415CD6,View market,Jennifer Harris,20000000,94
TRK-18190B0895B3,Stay take push you,Scott Carter,20000000,100
TRK-2D08B57E1263,Hand argue commercial,William Fox,20000000,92
TRK-2CF97E93DA42,Source good determine,Christopher Bowman,20000000,100
TRK-B0E613B5343A,Her life,Amanda Henry,20000000,100
TRK-04987C652FED,Option,Blake Haynes,20000000,94
TRK-F961DC82D221,Development,Mary Russell,20000000,100
TRK-BFD6B1C58E37,Entire fast adult,Cole Johnson,20000000,85
TRK-00659CC15275,Require,Sara Brown,20000000,80
TRK-0BCD4C03BEAA,People his simple,Jim Roberts,20000000,86
TRK-0BC54CD61A97,Play range eight,Christine Rhodes,20000000,92
TRK-B2513E0DDA0A,Growth letter,Anthony Durham,20000000,96
